;cpuFamily;cpuModel;ramSize;ramType;gpuModel;hdd1Type;hdd1Size;hdd2Type;hdd2Size;price;vfm;mark;TDP
107;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;743,0;10,297442799461642;7651;15
108;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;744,0;10,283602150537634;7651;15
109;Core i7;8550U;8 GB;DDR4;Radeon 530;SSD;128 GB;HDD;1000 GB;745,0;11,068456375838926;8246;15
110;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;747,0;10,680053547523427;7978;15
111;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;128 GB;HDD;1000 GB;747,45;10,673623653756103;7978;15
112;Core i5;1035G1;8 GB;DDR4;UHD Graphics;SSD;512 GB;-;-;747,99;12,020214173986282;8991;15
113;Core i5;8250U;8 GB;DDR4;Radeon 530;SSD;256 GB;-;-;748,75;10,218363939899833;7651;15
114;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;749,0;10,651535380507344;7978;15
115;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;749,0;10,214953271028037;7651;15
116;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;749,0;10,214953271028037;7651;15
117;Core i5;8250U;8 GB;DDR4;HD Graphics 620;SSD;256 GB;-;-;749,0;10,214953271028037;7651;15
118;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;749,0;10,651535380507344;7978;15
119;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;128 GB;-;-;749,0;10,214953271028037;7651;15
121;Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;8 GB;SSD;-;749,99;10,637475166335552;7978;15
122;Core i5;9300H;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;759,0;12,85638998682477;9758;45
123;Core i5;1035G1;8 GB;DDR4;GeForce MX230;SSD;512 GB;-;-;761,0;11,814717477003942;8991;15
124;Core i7;8565U;8 GB;DDR4;GeForce MX250;SSD;256 GB;HDD;1000 GB;769,0;11,578673602080624;8904;15
125;Core i7;7500U;8 GB;DDR4;HD Graphics 620;SSD;256 GB;-;-;769,0;6,663198959687906;5124;15
126;Core i5;9300H;8 GB;DDR4;GeForce GTX 1050;SSD;512 GB;-;-;769,0;12,689206762028608;9758;45
127;Core i5;8250U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;772,0;9,910621761658032;7651;15
128;Core i5;8265U;16 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;773,07;10,319893411980804;7978;15
129;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;775,0;9,87225806451613;7651;15
130;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;777,0;10,267696267696268;7978;15
131;Core i5;9300H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;777,0;12,558558558558559;9758;45
132;Core i7;10510U;8 GB;DDR4;UHD Graphics;SSD;256 GB;-;-;777,0;12,27027027027027;9534;15
133;Core i5;9300H;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;777,9;12,544028795474997;9758;45
134;Core i7;8550U;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;779,0;10,585365853658537;8246;15
135;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;779,0;10,241335044929397;7978;15
136;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;779,0;10,241335044929397;7978;15
138;Core i5;9300H;8 GB;DDR4;GeForce GTX 1650;SSD;512 GB;-;-;779,99;12,510416800215387;9758;45
139;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;788,0;9,709390862944163;7651;15
140;Core i7;8565U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;788,1;11,298058622002284;8904;15
141;Core i5;8265U;8 GB;DDR4;GeForce MX130;SSD;16 GB;HDD;1000 GB;789,0;10,111533586818759;7978;15
142;Core i5;8300H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;512 GB;-;-;789,99;11,981164318535678;9465;45
143;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;794,95;10,035851311403233;7978;15
144;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;795,0;9,623899371069182;7651;15
145;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;795,9;10,023872345772082;7978;15
146;Core i7;9750H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;798,0;16,89097744360902;13479;45
147;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;798,9;9,576918262611091;7651;15
