CPU Name,Price(USD),CPU Mark,CPU Value,Thread Mark,Thread Value,TDP (W),Power Perf.,Socket,Category
AMD A6-9200,0,1747,0,984,0,10,174,BGA,Laptop
AMD A6-9210,0,1764,0,1100,0,15,117,FP4,Laptop
AMD A6-9220,0,2171,0,1223,0,15,144,NA,Laptop
AMD A6-9220C,0,2071,0,1172,0,6,345,FT4,Laptop
AMD A6-9220e,0,1629,0,913,0,0,0,NA,Laptop
AMD A6-9225,0,2125,0,1231,0,15,141,BGA (FT4),Laptop
AMD A6-9230,0,2102,0,1241,0,15,140,NA,Desktop
AMD A6-9500,51.4,3054,59.32,1781,34.61,65,46,AM4,Desktop
AMD A6-9500E,72.5,2889,39.85,1631,22.5,35,82,AM4,Desktop
AMD A8 PRO-7150B APU,0,2655,0,825,0,19,139,FP3,Laptop
AMD A8 PRO-7600B APU,0,4752,0,1446,0,65,73,FM2+,Desktop
AMD A8-3500M APU,69.9,1980,28.32,560,8.01,35,56,FS1,Laptop
AMD A8-3510MX APU,0,2414,0,705,0,45,53,FS1,Laptop
AMD A8-3520M APU,0,2170,0,638,0,35,62,FS1,Laptop
AMD A8-3530MX APU,0,2354,0,694,0,45,52,FS1,Laptop
AMD A8-3550MX APU,0,2610,0,736,0,45,58,FS1,Laptop
AMD A8-3800 APU,56.99,3011,52.84,854,14.99,65,46,FM1,Desktop
AMD A8-3820 APU,124.99,3106,24.86,876,7.02,65,47,FM1,Desktop
AMD A8-3850 APU,105.68,3458,32.72,994,9.41,100,34,FM1,Desktop
AMD A8-3870K APU,149.67,3537,23.64,1025,6.85,100,35,FM1,Desktop
AMD A8-4500M APU,0,2666,0,856,0,35,76,FS1r2,Laptop
AMD A8-4555M APU,0,2123,0,713,0,19,111,FP2,Laptop
AMD A8-5500 APU,56.5,3998,70.77,1268,22.46,65,61,FM2,Desktop
AMD A8-5500B APU,0,4023,0,1275,0,65,61,FM2,Desktop
AMD A8-5545M APU,0,2580,0,832,0,19,135,FP2,Laptop
AMD A8-5550M APU,0,3003,0,990,0,35,85,FS1r2,Laptop
AMD A8-5557M APU,0,2954,0,1007,0,35,84,FP2,Laptop
AMD A8-5600K APU,229.3,4341,18.93,1375,6.0,100,43,FM2,Desktop
AMD A8-6410 APU,0,2576,0,885,0,15,171,BGA769 (FT3b),Laptop
