cpuFamily;cpuModel;ramSize;ramType;gpuModel;hdd1Type;hdd1Size;hdd2Type;hdd2Size;price
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;799.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;799.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;799.0
Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;799.0
Core i5;8250U;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;799.0
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;799.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;799.0
Core i5;8265U;8 GB;-;UHD Graphics 620;SSD;512 GB;-;-;799.9
Core i7;8565U;8 GB;-;GeForce MX250;SSD;512 GB;-;-;799.9
Core i7;8565U;8 GB;DDR4;GeForce MX130;SSD;128 GB;HDD;1000 GB;799.99
Core i7;8565U;8 GB;DDR4;GeForce MX230;SSD;512 GB;-;-;802.37
Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;512 GB;-;-;802.37
Core i7;1065G7;8 GB;DDR4;GeForce MX230;SSD;256 GB;-;-;804.95
Core i5;8300H;8 GB;DDR4;GeForce GTX 1050Ti;SSD;256 GB;-;-;809.0
Core i5;8300H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;128 GB;HDD;1000 GB;809.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;809.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;809.0
Core i7;8550U;8 GB;DDR4;GeForce MX150;SSD;256 GB;-;-;815.0
Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;815.99
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;817.0
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;818.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;819.0
Core i5;9300H;8 GB;DDR4;GeForce GTX 1650;SSD;128 GB;HDD;1000 GB;819.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;819.9
Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;819.99
Core i7;8565U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;821.0
Core i5;7200U;8 GB;-;HD Graphics 620;SSD;256 GB;-;-;823.0
Core i5;8265U;8 GB;DDR3;UHD Graphics 620;SSD;256 GB;-;-;826.04
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;826.77
Core i7;8565U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;828.0
Core i7;8550U;8 GB;DDR3;UHD Graphics 620;SSD;256 GB;-;-;829.0
Core i5;8265U;12 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;829.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;829.99
